strategy,params,sample,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.05}",8,2.6325985674629044,-0.39122793001517864,5.24386863952569,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.05}",9,0.05773855773855776,-0.35074290859973,0.7197552387063616,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",0,-0.09014194728480433,-0.3907900295732991,-0.17130812869952117,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",1,0.2298179850087141,-0.22432432432432448,1.8043101296585373,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",2,-0.6019283835646402,-0.7035445757250269,-2.5612460874238914,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",3,5.599947227281057,-0.3389959839357435,5.767365016834933,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",4,0.21620009534939835,-0.4205113417916183,1.3426186416686312,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",5,0.38570499880247733,-0.21308290155440324,2.4246647526865095,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",6,0.7801823903412202,-0.4116449704142011,2.6283790395162887,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",7,-0.10215851655461247,-0.3042096902303416,-0.6403529924736375,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",8,-0.3887810874666285,-0.606195401682834,-0.2551542503408797,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",9,0.16257037879511207,-0.3317205120390113,1.1893690628316556,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",0,0.6382219179421974,-0.3929558011049723,2.5291103780811803,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",1,0.2254111025579761,-0.23461351482741877,1.6822948831218727,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",2,0.02303628807336572,-0.305135135135134,0.4717085795731465,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",3,0.3067677663950955,-0.30625648116142457,1.896338225561971,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",4,-0.3135955868875123,-0.3618378711546413,-2.407855176494798,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",5,-0.4273214194870602,-0.6840402588066143,-1.7078798629366423,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",6,0.5752471012182928,-0.5909570001965093,1.9835007301536711,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",7,5.422608213534845,-0.33899598393574326,5.676710639749817,1.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",8,-0.008971215905723511,-0.2785923753665692,0.4260431391288899,0.0,1
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",9,0.5767283563893734,-0.404663133476693,2.3999699365673335,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",0,-0.4402670692961379,-0.6061954016828341,-0.6264487168934199,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",1,-0.21742387495812154,-0.36237955592794313,-0.9349614203009142,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",2,3.763152482254503,-0.39183609392125773,5.62134128582904,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",3,0.08298780865152548,-0.13152486642005767,1.3067504930708826,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",4,-0.6110517724350578,-0.7639634801288931,-2.43770090232162,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",5,0.03282418665095302,-0.42051134179161775,0.6588328653228478,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",6,0.41241999497747184,-0.2346135148274192,2.741277762872982,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",7,0.08197450390141421,-0.333909436571033,0.833845598878048,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",8,-0.5359462742425136,-0.6154189611549341,-2.7493557610985717,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",9,-0.21524859180719533,-0.39440027652955467,-1.3226692500226678,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",0,0.06791356791356794,-0.35074290859973,0.7650302696623774,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",1,-0.19002495953104398,-0.24964471814306022,-2.1645506515786868,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",2,-0.5674428664119385,-0.7035445757250267,-2.4433198060633927,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",3,0.013555980443397675,-0.6061954016828333,0.9998065974439821,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",4,0.017773392821823653,-0.30513513513513413,0.43202575535995313,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",5,0.38711121040590935,-0.2346135148274192,2.6306934853774875,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",6,-0.2376955278851404,-0.3615617688165095,-1.219251308548655,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",7,0.48884221729831606,-0.1495733008229191,3.2229091961047867,1.0,1
