strategy,params,sample,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",7,-0.25880065922756657,-0.4091612034835037,-0.9118736328014715,0.5,24
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",8,-0.3838344590274978,-0.3958328956226036,-3.1924622178729005,0.35294117647058826,17
SMA Crossover,"{""fast_ma"": 5, ""slow_ma"": 30, ""sl_stop"": 0.1, ""tp_stop"": 0.05}",9,0.08128374342412026,-0.30851183933641335,0.8275590311153727,0.5,28
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",0,0.01176250958821929,-0.22736879923077502,0.3490282803027572,0.6111111111111112,18
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",1,0.19774527746904022,-0.28728935005010714,1.6179939079760313,0.5,18
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",2,-0.23424194884940935,-0.39197019302027725,-1.4579084082374019,0.43478260869565216,23
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",3,-0.3992552853126723,-0.550387407388844,-2.4195338155910764,0.4117647058823529,34
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",4,-0.08759258390944324,-0.2113660818038393,-0.6495053395777438,0.5,18
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",5,0.8189895065966781,-0.2846211377623944,2.786009880324618,0.5636363636363636,55
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",6,0.16391335224753603,-0.4461517861571238,1.143081175016159,0.5217391304347826,46
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",7,-0.05968162352979143,-0.21823337239187457,-0.5077636055926319,0.35294117647058826,17
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",8,0.41932462621041305,-0.3862581788113857,1.9916938717476045,0.5319148936170213,47
SMA Crossover,"{""fast_ma"": 10, ""slow_ma"": 30, ""sl_stop"": 0.05, ""tp_stop"": 0.05}",9,0.1260669051395038,-0.15390916870776072,1.1633655834256835,0.55,20
